iter	Logloss
0	0.6744895751
1	0.6457514839
2	0.6282203732
3	0.5998216043
4	0.5731486045
5	0.5624500829
6	0.5439921969
7	0.5256357358
8	0.5113509646
9	0.4985242533
10	0.4859623745
11	0.4753751271
12	0.4683032892
13	0.4640507344
14	0.4531997091
15	0.4497949076
16	0.4394651573
17	0.4281633146
18	0.4235655027
19	0.4139696173
20	0.4046683066
21	0.4013847811
22	0.3923506854
23	0.3871687236
24	0.3812441482
25	0.3758677404
26	0.3716370903
27	0.3691625253
28	0.364653519
29	0.3635047136
30	0.3600016709
31	0.3559862591
32	0.3538196526
33	0.3515110265
34	0.3481494143
35	0.3453384466
36	0.3411094065
37	0.336986721
38	0.3354988425
39	0.3321764087
40	0.3318923154
41	0.3311912541
42	0.3309595684
43	0.3286292567
44	0.3269769974
45	0.3257480045
46	0.3245496714
47	0.3215026949
48	0.32120342
49	0.3205178829
50	0.3191762543
51	0.3181009651
52	0.3167789494
53	0.3152312962
54	0.3141435605
55	0.3121033688
56	0.3110385664
57	0.3102584963
58	0.3097789426
59	0.3082282942
60	0.3075077145
61	0.307148624
62	0.3059664964
63	0.3042791813
64	0.3038555933
65	0.3031680864
66	0.3031542674
67	0.3028765134
68	0.3028653155
69	0.3020218965
70	0.3007114419
71	0.3003234684
72	0.2990333356
73	0.2979635903
74	0.2978244573
75	0.2977787376
76	0.296947343
77	0.296678334
78	0.2966759089
79	0.2957228118
80	0.2943371501
81	0.2937019231
82	0.292449237
83	0.292081718
84	0.2910480472
85	0.2904723487
86	0.2904714394
87	0.2904703997
88	0.290440694
89	0.28992417
90	0.2889769806
91	0.288800333
92	0.2884813944
93	0.2884633862
94	0.2878313088
95	0.2877041211
96	0.2875662762
97	0.2875661899
98	0.2870708445
99	0.2870707361
100	0.2870629794
101	0.2869577966
102	0.2869513178
103	0.2869513609
104	0.2862664682
105	0.2855258007
106	0.2854223177
107	0.2852796445
108	0.2849613812
109	0.2845452936
110	0.2836749248
111	0.2833450388
112	0.2825825747
113	0.2822892723
114	0.2820861242
115	0.2819405646
116	0.2813780998
117	0.2811814514
118	0.2810409591
119	0.2804738975
120	0.2798776716
121	0.2793317689
122	0.2787699645
123	0.2787700082
124	0.2783290457
125	0.2783025666
126	0.2779103888
127	0.2778900219
128	0.2775141041
129	0.2772115947
130	0.2770506118
131	0.2768904895
132	0.2767168363
133	0.2766668733
134	0.2764364225
135	0.2764342123
136	0.2764343422
137	0.276095565
138	0.2759162949
139	0.2758376002
140	0.2755137238
141	0.2753017545
142	0.2752107968
143	0.2751662255
144	0.2750471838
145	0.2746153855
146	0.2746154288
147	0.2736876821
148	0.273471209
149	0.273268254
150	0.2732382425
151	0.2730994003
152	0.2728993455
153	0.2727427317
154	0.2724639021
155	0.272148131
156	0.2718439072
157	0.2717765673
158	0.2715871343
159	0.2715759753
160	0.2715758883
161	0.2715371257
162	0.2712727834
163	0.2711374087
164	0.2707719607
165	0.2706606773
166	0.2706484998
167	0.2705913397
168	0.2705153764
169	0.2704873573
170	0.2704129302
171	0.2703166639
172	0.2701100482
173	0.2698387803
174	0.2696285476
175	0.2696283746
176	0.2695065642
177	0.2691772474
178	0.2689809356
179	0.2685397099
180	0.2684184372
181	0.2681104005
182	0.2678544392
183	0.2678239104
184	0.2676916564
185	0.2675657733
186	0.2673144902
187	0.2668096819
188	0.2664480118
189	0.2662416573
190	0.2661577412
191	0.2658572204
192	0.2655985661
193	0.2652305587
194	0.2650586305
195	0.2648907353
196	0.2647090185
197	0.2646072499
198	0.2643657523
199	0.2640916897
200	0.2636757051
201	0.26362884
202	0.2632278306
203	0.2629743299
204	0.2627980888
205	0.2625724732
206	0.2625359433
207	0.2622863643
208	0.2622025139
209	0.2620954586
210	0.2618517513
211	0.2614693836
212	0.26097776
213	0.2605529917
214	0.2600274748
215	0.2598150106
216	0.2595268002
217	0.2592392333
218	0.2590760399
219	0.258973296
220	0.25852032
221	0.2582274939
222	0.2577095292
223	0.2576874942
224	0.2573650676
225	0.2572097392
226	0.2570819056
227	0.2570076754
228	0.2568480766
229	0.2564713692
230	0.2559954816
231	0.2556401037
232	0.2551828059
233	0.2550328725
234	0.2549311252
235	0.2545679046
236	0.2540551163
237	0.2538506031
238	0.2535117572
239	0.2532726863
240	0.2530467894
241	0.2527880887
242	0.2524766292
243	0.252133862
244	0.251974525
245	0.2517402644
246	0.251616634
247	0.2514982474
248	0.2513258666
249	0.2512630761
250	0.2511384708
251	0.250822852
252	0.2506612399
253	0.2504045106
254	0.2500309949
255	0.2498517895
256	0.2497693472
257	0.249548585
258	0.2494006443
259	0.2493213878
260	0.2491733391
261	0.2489805266
262	0.2483762173
263	0.2483043268
264	0.2481814771
265	0.2478739827
266	0.2475674852
267	0.2472915599
268	0.2470719456
269	0.2468180987
270	0.2464863808
271	0.2462231085
272	0.2460311623
273	0.2459796395
274	0.2457047318
275	0.2451963002
276	0.2448597946
277	0.2447944691
278	0.2446300187
279	0.2443940468
280	0.2438595714
281	0.24357914
282	0.2433386824
283	0.242924978
284	0.2427142031
285	0.242322374
286	0.2422461075
287	0.2419923031
288	0.2416479502
289	0.2415124252
290	0.2411628973
291	0.2410372303
292	0.2407971634
293	0.2407214165
294	0.24050345
295	0.2404415695
296	0.2402247072
297	0.2400064363
298	0.2398077302
299	0.2393287663
