iter	Passed	Remaining
0	0	291
1	2	335
2	3	348
3	4	353
4	6	357
5	6	342
6	8	346
7	9	348
8	10	342
9	11	341
10	12	340
11	14	340
12	15	336
13	16	328
14	17	330
15	18	323
16	19	324
17	20	325
18	21	325
19	23	328
20	24	328
21	26	328
22	27	328
23	28	326
24	29	325
25	31	327
26	32	327
27	33	326
28	34	326
29	35	323
30	37	322
31	38	321
32	39	321
33	40	320
34	42	319
35	43	319
36	44	318
37	46	317
38	47	317
39	48	316
40	49	313
41	50	312
42	51	309
43	53	308
44	54	307
45	55	306
46	56	305
47	58	304
48	59	303
49	60	302
50	61	301
51	63	301
52	64	300
53	65	300
54	67	299
55	68	298
56	69	297
57	71	296
58	72	295
59	73	294
60	75	293
61	76	293
62	77	291
63	78	291
64	80	290
65	81	289
66	82	286
67	83	285
68	84	282
69	87	285
70	89	288
71	90	287
72	92	286
73	93	285
74	94	284
75	95	282
76	97	281
77	98	279
78	99	277
79	100	276
80	101	275
81	103	274
82	104	273
83	105	272
84	107	271
85	108	269
86	109	267
87	110	265
88	111	263
89	112	262
90	113	261
91	116	262
92	117	261
93	118	259
94	119	258
95	120	257
96	122	255
97	123	253
98	124	252
99	125	250
100	126	248
101	127	247
102	128	245
103	129	243
104	130	242
105	131	241
106	133	239
107	134	238
108	135	237
109	136	236
110	138	235
111	139	234
112	140	232
113	142	231
114	143	230
115	144	229
116	145	228
117	147	227
118	148	225
119	149	224
120	151	223
121	152	222
122	153	221
123	154	219
124	155	218
125	156	216
126	158	215
127	159	214
128	160	212
129	161	211
130	163	210
131	164	209
132	165	208
133	167	207
134	168	205
135	169	204
136	170	202
137	171	201
138	172	200
139	174	198
140	175	197
141	176	196
142	178	196
143	180	195
144	183	195
145	184	194
146	185	192
147	186	191
148	190	193
149	196	196
150	197	194
151	199	193
152	200	192
153	201	191
154	202	189
155	204	188
156	205	187
157	206	185
158	207	184
159	208	182
160	209	181
161	210	179
162	212	178
163	213	177
164	214	175
165	216	174
166	217	172
167	218	171
168	219	170
169	220	168
170	221	167
171	223	166
172	224	164
173	225	163
174	227	162
175	227	160
176	229	159
177	230	158
178	231	156
179	233	155
180	234	154
181	235	152
182	237	151
183	238	150
184	239	148
185	240	147
186	241	146
187	243	144
188	244	143
189	245	142
190	247	141
191	248	139
192	249	138
193	251	137
194	252	135
195	253	134
196	254	133
197	256	131
198	257	130
199	258	129
200	260	128
201	261	126
202	262	125
203	263	124
204	264	122
205	266	121
206	267	120
207	268	118
208	269	117
209	270	116
210	272	114
211	273	113
212	274	112
213	276	110
214	277	109
215	278	108
216	279	107
217	281	105
218	282	104
219	283	103
220	285	101
221	286	100
222	287	99
223	288	97
224	290	96
225	291	95
226	292	94
227	293	92
228	295	91
229	296	90
230	297	88
231	299	87
232	300	86
233	301	85
234	302	83
235	304	82
236	305	81
237	306	79
238	308	78
239	309	77
240	310	76
241	312	74
242	313	73
243	314	72
244	315	70
245	317	69
246	318	68
247	319	67
248	321	65
249	322	64
250	323	63
251	325	61
252	326	60
253	327	59
254	329	58
255	330	56
256	331	55
257	332	54
258	334	52
259	335	51
260	336	50
261	338	49
262	339	47
263	340	46
264	342	45
265	343	43
266	344	42
267	346	41
268	347	40
269	348	38
270	350	37
271	351	36
272	352	34
273	354	33
274	355	32
275	356	31
276	358	29
277	359	28
278	360	27
279	362	25
280	365	24
281	366	23
282	368	22
283	369	20
284	370	19
285	372	18
286	373	16
287	374	15
288	376	14
289	377	13
290	378	11
291	380	10
292	381	9
293	382	7
294	383	6
295	385	5
296	386	3
297	388	2
298	389	1
299	390	0
