,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(33,)",[0.66861985 0.68391021 0.65698215 0.66227393],0.6679465332366498,"('cat__internet_service_Fiber optic',)",0.016183136543825975,0.010095648809067407,0.005828725557558992
2,"(27, 33)",[0.74906331 0.76609363 0.75673183 0.75447386],0.756590658553151,"('num__kbd__total_charges', 'cat__internet_service_Fiber optic')",0.009864136524598692,0.006153619101424174,0.0035527936446976697
3,"(27, 33, 34)",[0.78899628 0.77989809 0.80406691 0.79402131],0.7917456473525313,"('num__kbd__total_charges', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.013995503136588018,0.008730920868803949,0.0050407995138772805
4,"(27, 29, 33, 34)",[0.80381144 0.78989184 0.80677867 0.80352163],0.8010008966568238,"('num__kbd__total_charges', 'cat__type_Two year', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.010482296097438257,0.006539250276101018,0.003775437907205257
5,"(27, 28, 29, 33, 34)",[0.82266395 0.7981694  0.81483345 0.82395134],0.8149045355498046,"('num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.016467135820213398,0.010272818231612416,0.005931014371357524
6,"(27, 28, 29, 31, 33, 34)",[0.82718015 0.80478377 0.81660287 0.83065207],0.819804712318178,"('num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.016188181899741243,0.010098796291713886,0.005830542757512207
7,"(16, 27, 28, 29, 31, 33, 34)",[0.82745613 0.80558795 0.81641989 0.83283319],0.8205742871366647,"('num__pol__1', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.016802460322169307,0.010482006258893433,0.006051789135219466
8,"(16, 27, 28, 29, 31, 32, 33, 34)",[0.82877206 0.8061856  0.81566235 0.82960908],0.8200572712788303,"('num__pol__1', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.015601777314846233,0.009732975072008146,0.00561933577783982
9,"(16, 27, 28, 29, 30, 31, 32, 33, 34)",[0.82681278 0.80826367 0.80943005 0.83014521],0.8186629296961564,"('num__pol__1', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.01586169209593964,0.009895119681188108,0.005712950011597519
10,"(16, 26, 27, 28, 29, 30, 31, 32, 33, 34)",[0.81858823 0.80717803 0.8073331  0.82013621],0.8133088921821225,"('num__pol__1', 'num__kbd__monthly_charges', 'num__kbd__total_charges', 'cat__type_One year', 'cat__type_Two year', 'cat__payment_method_Credit card (automatic)', 'cat__payment_method_Electronic check', 'cat__payment_method_Mailed check', 'cat__internet_service_Fiber optic', 'cat__internet_service_None')",0.00974334484313116,0.0060782647106452006,0.0035092877668968093
