id,customer_id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
17,8191-XWSZG,2015-10-01,,One year,No,Mailed check,20.65,1022.95,,,,,,,,Female,0,No,No,No,0
21,8779-QRDMV,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,39.65,39.65,DSL,No,No,Yes,No,No,Yes,Male,1,No,No,,1
22,1680-VDCWW,2019-02-01,,One year,No,Bank transfer (automatic),19.8,202.25,,,,,,,,Male,0,Yes,No,No,0
23,1066-JKSGK,2019-11-01,2019-12-01,Month-to-month,No,Mailed check,20.15,20.15,,,,,,,,Male,0,No,No,No,1
24,3638-WEABW,2015-04-01,,Two year,Yes,Credit card (automatic),59.9,3505.1,DSL,No,Yes,No,Yes,No,No,Female,0,Yes,No,Yes,0
25,6322-HRPFA,2016-01-01,,Month-to-month,No,Credit card (automatic),59.6,2970.3,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,No,0
26,6865-JZNKO,2017-08-01,,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,No,0
27,6467-CHFZW,2015-12-01,2019-11-01,Month-to-month,Yes,Electronic check,99.35,4749.15,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,1
28,8665-UTDHZ,2019-11-01,2019-12-01,Month-to-month,No,Electronic check,30.2,30.2,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,,1
29,5248-YGIJN,2014-02-01,,Two year,Yes,Credit card (automatic),90.25,6369.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
30,8773-HHUOZ,2018-06-01,2019-11-01,Month-to-month,Yes,Mailed check,64.7,1093.1,DSL,No,No,No,No,Yes,Yes,Female,0,No,Yes,No,1
31,3841-NFECX,2014-03-01,,Two year,Yes,Credit card (automatic),96.35,6766.95,Fiber optic,Yes,Yes,Yes,Yes,No,No,Female,1,Yes,No,Yes,0
32,4929-XIHVW,2019-12-01,,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,No,0
33,6827-IEAUQ,2017-11-01,,One year,No,Mailed check,66.15,1874.45,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,Yes,Yes,No,0
34,7310-EGVHZ,2020-01-01,,Month-to-month,No,Bank transfer (automatic),20.2,20.2,,,,,,,,Male,0,No,No,No,0
35,3413-BMNZE,2020-01-01,,Month-to-month,No,Bank transfer (automatic),45.25,45.25,DSL,No,No,No,No,No,No,Male,1,No,No,No,0
36,6234-RAAPL,2014-02-01,,Two year,No,Bank transfer (automatic),99.9,7251.7,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,0
37,6047-YHPVI,2019-06-01,2019-11-01,Month-to-month,Yes,Electronic check,69.7,316.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
38,6572-ADKRS,2016-04-01,,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Fiber optic,No,No,Yes,No,No,No,Female,0,No,No,No,0
39,5380-WJKOV,2017-02-01,2019-12-01,Month-to-month,Yes,Electronic check,106.35,3549.25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
40,8168-UQWWF,2018-12-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1
41,8865-TNMNX,2019-04-01,,One year,No,Mailed check,49.55,475.7,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,0
42,9489-DEDVP,2014-04-01,,Two year,Yes,Credit card (automatic),69.2,4872.35,DSL,Yes,Yes,No,No,Yes,No,Female,0,Yes,Yes,Yes,0
43,9867-JCZSP,2018-09-01,,One year,No,Mailed check,20.75,418.25,,,,,,,,Female,0,Yes,Yes,No,0
44,4671-VJLCL,2014-11-01,,Two year,Yes,Credit card (automatic),79.85,4861.45,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,0,No,No,Yes,0
45,4080-IIARD,2019-01-01,,Month-to-month,Yes,Electronic check,76.2,981.45,DSL,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,No,Yes,0
